head_raw	tail_raw	relation_raw	head	tail	relation	note
老妖	沙悟净	审问	老妖	沙悟净	审问	
奎木狼	玉皇大帝	被传旨收上界	奎木狼	玉皇大帝	被传旨收上界	
孙悟空行者	唐三藏	救助	孙悟空行者	唐三藏	救助	
猪八戒	孙悟空行者	激将	猪八戒	孙悟空行者	激将	
孙悟空	猪八戒	变作啄木虫儿	孙悟空	猪八戒	变作啄木虫儿	
孙悟空	猪八戒	变作蟭蟟虫儿	孙悟空	猪八戒	变作蟭蟟虫儿	
莲花洞	平顶山	位于	莲花洞	平顶山	位于	
金角大王	莲花洞	居住于	金角大王	莲花洞	居住于	
金角大王	唐三藏	要捉和尚	金角大王	唐三藏	要捉和尚	
银角大王	莲花洞	居住于	银角大王	莲花洞	居住于	
银角大王	唐三藏	要捉和尚	银角大王	唐三藏	要捉和尚	
二魔	高山绝顶	前往	二魔	高山绝顶	前往	
二魔	孙悟空	奉命捉拿	二魔	孙悟空	奉命捉拿	
二魔	猪八戒	擒拿	二魔	猪八戒	擒拿	
伶俐虫	孙悟空	奉命捉拿	伶俐虫	孙悟空	奉命捉拿	
孙悟空	假葫芦	获得	孙悟空	假葫芦	获得	
孙悟空	羊脂玉净瓶	获得	孙悟空	羊脂玉净瓶	获得	
真武	皂雕旗	借出	真武	皂雕旗	借出	
精细鬼	高山绝顶	奉命前往	精细鬼	高山绝顶	奉命前往	
精细鬼	孙悟空	奉命捉拿	精细鬼	孙悟空	奉命捉拿	
老魔	莲花洞	居住于	老魔	莲花洞	居住于	fill_tail_cate
二魔	众妖	传旨	二魔	众妖	传旨	
二魔	倚海龙	差遣去请	二魔	倚海龙	差遣去请	
二魔	巴山虎	差遣去请	二魔	巴山虎	差遣去请	
孙大圣	老奶奶	变作	孙悟空	老奶奶	变作	
孙悟空	二魔	挑战	孙悟空	二魔	挑战	
老魔	众妖	传旨	老魔	众妖	传旨	
孙大圣	莲花洞	前往	孙悟空	莲花洞	前往	fill_tail_cate
孙大圣	老魔	挑战	孙悟空	老魔	挑战	
孙大圣	唐三藏	救助	孙悟空	唐三藏	救助	
孙大圣	净瓶	获得	孙悟空	净瓶	获得	
孙大圣	莲花洞	进入	孙悟空	莲花洞	进入	fill_tail_cate
孙大圣	老魔	追杀	孙悟空	老魔	追杀	
狐阿七大王	老魔	盟友	狐阿七大王	老魔	盟友	
老魔	孙大圣	敌对	老魔	孙悟空	敌对	
行者孙	老魔	战败	行者孙	老魔	战败	
银角大王	葫芦	装入	银角大王	葫芦	装入	
僧官	道人	命令	僧官	道人	命令	
唐三藏	宝林寺	借宿	唐三藏	宝林寺	借宿	
唐三藏	宝林寺	借宿	唐三藏	宝林寺	借宿	fill_tail_cate
唐三藏	大唐	受唐王恩宥	唐三藏	大唐	受唐王恩宥	
唐三藏	西天	奉命取经	唐三藏	西天	奉命取经	
孙悟空	唐三藏	保领	孙悟空	唐三藏	保领	
孙悟空	僧官	挑战	孙悟空	僧官	挑战	
孙悟空	方丈	捣乱	孙悟空	方丈	捣乱	fill_tail_cate
孙悟空	干净房子	索要	孙悟空	干净房子	索要	
孙悟空	大雄宝殿	进入	孙悟空	大雄宝殿	进入	
全真	乌鸡国王	与国王结拜	全真	乌鸡国王	与国王结拜	
全真	乌鸡国王	侵占江山	全真	乌鸡国王	侵占江山	
全真	乌鸡国王	变作国王	全真	乌鸡国王	变作国王	
全真	乌鸡国王	推下井内	全真	乌鸡国王	推下井内	
乌鸡国王	唐三藏	托梦请圣僧	乌鸡国王	唐三藏	托梦请圣僧	
孙悟空	猪八戒	命令	孙悟空	猪八戒	命令	
孙悟空	山神土地	命令寻物	孙悟空	山神土地	命令寻物	
孙悟空	山神土地	命令摆兽	孙悟空	山神土地	命令摆兽	
孙悟空	山神土地	显神通拘神	孙悟空	山神土地	显神通拘神	
山神土地	孙悟空	献上野物	山神土地	孙悟空	献上野物	
正宫娘娘	锦香亭	坐在	正宫娘娘	锦香亭	坐在	
猪八戒	乌鸡国王	驮尸	猪八戒	乌鸡国王	驮尸	
太上老君	三十三天离恨天兜率宫	居住于	太上老君	三十三天离恨天兜率宫	居住于	
文殊菩萨	照妖镜	使用	文殊菩萨	照妖镜	使用	
皇帝	丹青	传旨宣召	皇帝	丹青	传旨宣召	
皇帝	宝林寺僧人	封赠	皇帝	宝林寺僧人	封赠	
孙大圣	红孩儿	索要唐僧师父	孙悟空	红孩儿	索要唐僧师父	
敖广	北海龙王	传旨请	敖广	北海龙王	传旨请	
敖广	西海龙王	传旨请	敖广	西海龙王	传旨请	
牛魔王	平天大圣	封为	牛魔王	平天大圣	封为	
猪八戒	观音菩萨	请救	猪八戒	观音菩萨	请救	
菩萨	善财童子	赐金箍儿镇妖	菩萨	善财童子	赐金箍儿镇妖	
小鼍龙	沙悟净	挑战	小鼍龙	沙悟净	挑战	
沙悟净	小鼍龙	挑战	沙悟净	小鼍龙	挑战	
沙悟净	唐三藏	救助	沙悟净	唐三藏	救助	
沙悟净	猪八戒	救助	沙悟净	猪八戒	救助	
观音菩萨	童子	施展法力收服	观音菩萨	童子	施展法力收服	
黑水河神	西海龙王	告状	黑水河神	西海龙王	告状	
黑水河神	衡阳峪黑水河神府	居住于	黑水河神	衡阳峪黑水河神府	居住于	
孙悟空	护身法儿	传授	孙悟空	护身法儿	传授	
孙悟空	元始天尊	变作	孙悟空	元始天尊	变作	
沙悟净	灵宝道君	变作	沙悟净	灵宝道君	变作	
猪八戒	太上老君	变作	猪八戒	太上老君	变作	
孙大圣	布雾郎君	召唤	孙悟空	布雾郎君	召唤	
孙大圣	推云童子	召唤	孙悟空	推云童子	召唤	
孙大圣	风婆婆	召唤	孙悟空	风婆婆	召唤	
孙大圣	猪八戒	救助	孙悟空	猪八戒	救助	
虎力大仙	文书	发祈雨	虎力大仙	文书	发祈雨	
虎力大仙	国师	奏请封为	虎力大仙	国师	奏请封为	
虎力大仙	符檄	烧祈雨	虎力大仙	符檄	烧祈雨	
虎力大仙	坛场	登坛祈雨	虎力大仙	坛场	登坛祈雨	
北海龙王	冷龙	助道士护锅	北海龙王	冷龙	助道士护锅	
孙悟空	北海龙王	念咒语唤来	孙悟空	北海龙王	念咒语唤来	
孙大圣	脱命僧人	救拔	孙悟空	脱命僧人	救拔	
孙悟空	灵感大王庙	前往	孙悟空	灵感大王庙	前往	
孙悟空	关保儿	变化	孙悟空	关保儿	变化	
陈清	陈家庄	居住于	陈清	陈家庄	居住于	
陈澄	陈家庄	居住于	陈澄	陈家庄	居住于	
灵感大王	灵感庙	前往	灵感大王	灵感庙	前往	
孙悟空	猪虱子	变作	孙悟空	猪虱子	变作	
孙悟空	长脚虾婆	变作	孙悟空	长脚虾婆	变作	
孙悟空	通天河妖怪	奉命捉拿	孙悟空	通天河妖怪	奉命捉拿	
孙悟空	菩萨	拜问	孙悟空	菩萨	拜问	
老鼋	通天河	前往	老鼋	通天河	前往	
老鼋	化为血水	发誓	老鼋	化为血水	发誓	
老鼋	化为血水	发誓	老鼋	化为血水	发誓	
老鼋	水鼋之第	居住于	老鼋	水鼋之第	居住于	
老鼋	问佛祖	请求	老鼋	问佛祖	请求	
观音菩萨	唐三藏	救助	观音菩萨	唐三藏	救助	
独角兕大王	金皘洞	居住于	独角兕大王	金皘洞	居住于	
可韩司丈人真君	玉皇大帝	回奏查勘结果	可韩司丈人真君	玉皇大帝	回奏查勘结果	
四大天师	玉皇大帝	奉旨传奏	四大天师	玉皇大帝	奉旨传奏	
孙悟空	彤华宫	前往	孙悟空	彤华宫	前往	
孙悟空	灵霄殿	前往	孙悟空	灵霄殿	前往	
孙悟空	金皘山	前往	孙悟空	金皘山	前往	
孙悟空	金皘山南坡下	前往	孙悟空	金皘山南坡下	前往	
孙悟空	玉皇大帝	告状	孙悟空	玉皇大帝	告状	
孙悟空	水德星君	求助	孙悟空	水德星君	求助	
孙悟空	火德星君	求助	孙悟空	火德星君	求助	
孙悟空	水德星君	请求协助	孙悟空	水德星君	请求协助	
孙悟空	火德星君	请求协助	孙悟空	火德星君	请求协助	
张道陵	玉皇大帝	传报灵霄	张道陵	玉皇大帝	传报灵霄	
玉皇大帝	托塔李天王	令下界擒魔	玉皇大帝	托塔李天王	令下界擒魔	
玉皇大帝	张蕃	传旨点将	玉皇大帝	张蕃	传旨点将	
玉皇大帝	邓化	传旨点将	玉皇大帝	邓化	传旨点将	
玉皇大帝	孙悟空	着挑选天将	玉皇大帝	孙悟空	着挑选天将	
玉皇天尊	可韩司	降旨查勘	玉皇天尊	可韩司	降旨查勘	
太上老君	青牛	收归	太上老君	青牛	收归	
太上老君	青牛	收归	太上老君	青牛	收归	fill_tail_cate
太上老君	青牛	收服	太上老君	青牛	收服	
太上老君	青牛	收服	太上老君	青牛	收服	fill_tail_cate
太上老君	金刚琢	炼成	太上老君	金刚琢	炼成	
太上老君	兜率院	驾彩云归	太上老君	兜率院	驾彩云归	
如来佛祖	孙悟空	传旨令入	如来佛祖	孙悟空	传旨令入	
如来佛祖	大地四部洲	着慧眼观看	如来佛祖	大地四部洲	着慧眼观看	
孙大圣	金箍棒	使用	孙悟空	金箍棒	使用	
孙大圣	沙悟净	救助	孙悟空	沙悟净	救助	
孙大圣	变化	施展	孙悟空	变化	施展	
孙大圣	金箍棒	获得	孙悟空	金箍棒	获得	
如意真仙	落胎泉水	护住	如意真仙	落胎泉水	护住	
孙悟空	聚仙庵	前往	孙悟空	聚仙庵	前往	
孙悟空	解阳山	前往	孙悟空	解阳山	前往	
孙悟空	落胎泉水	索要	孙悟空	落胎泉水	索要	
女王	唐三藏	倒换关文	女王	唐三藏	倒换关文	
女王	唐三藏	招赘为夫	女王	唐三藏	招赘为夫	
当驾太师	女王	作媒	当驾太师	女王	作媒	
迎阳驿丞	女王	主婚	迎阳驿丞	女王	主婚	
迎阳驿丞	女王	奏请放行	迎阳驿丞	女王	奏请放行	
如来佛祖	蝎子精	被扎	如来佛祖	蝎子精	被扎	
孙大圣	毒敌山琵琶洞	前往	孙悟空	毒敌山琵琶洞	前往	
孙大圣	蜜蜂儿	变作	孙悟空	蜜蜂儿	变作	
孙大圣	变作蜜蜂儿	施展神通	孙悟空	变作蜜蜂儿	施展神通	
孙大圣	昴日星官	请见	孙悟空	昴日星官	请见	
蝎子精	毒敌山琵琶洞	居住于	蝎子精	毒敌山琵琶洞	居住于	
蝎子精	唐三藏	捆缚	蝎子精	唐三藏	捆缚	
观音菩萨	昴日星官	指示请见	观音菩萨	昴日星官	指示请见	
众贼	草团瓢	前往	众贼	草团瓢	前往	
众贼	孙悟空	围困	众贼	孙悟空	围困	
